TransactionID,Items
T001,"T_Shirt,Jeans,Jacket,Hat"
T002,"Sneakers,Socks"
T003,"Jacket,Hat,Scarf,Belt"
T004,"Backpack,Sunglasses,Scarf,Gloves"
T005,"Watch,Belt,Wallet"
T006,"T_Shirt,Jeans,Sneakers,Wallet"
T007,"Gloves,Scarf,Hat,Sweater"
T008,"Sweater,Jeans"
T009,"Dress,Sunglasses,Sweater,T_Shirt"
T010,"Belt,Wallet,Jeans"
T011,"T_Shirt,Jeans"
T012,"Sneakers,Socks,Dress,T_Shirt,Jeans"
T013,"Jacket,Hat,Scarf"
T014,"Backpack,Sunglasses,Jeans,Sneakers,Socks"
T015,"Watch,Belt,Wallet,Jacket,Hat,Backpack"
T016,"T_Shirt,Jeans,Sneakers,Hat,Backpack,Sunglasses"
T017,"Gloves,Scarf,Hat,Sunglasses"
T018,"Sweater,Jeans"
T019,"Dress,Sunglasses"
T020,"Belt,Wallet,Backpack"
T021,"T_Shirt,Jeans,Scarf"
T022,"Sneakers,Socks"
T023,"Jacket,Hat,Scarf"
T024,"Backpack,Sunglasses,Watch"
T025,"Watch,Belt,Wallet"
